//////////////////////////////////////////////////////////////////////////
// General Score mods

// Remaps all scores - where a score of SCORE_MOD is the average dmg of this character.
SCORE_MOD										100.0
FALLBACK_ENEMIES_NEARBY_MIN_DISTANCE			1.90 // distance at which being any closer makes no difference
FALLBACK_ENEMIES_NEARBY_MAX_DISTANCE			6.00 // ignore characters beyond this distance

FALLBACK_HEIGHT_DIFFERENCE						0.00

FALLBACK_JUMP_OVER_WALK_PREFERRED_DISTANCE		2.00 // character will prefer doing a fallback jump forward instead of a future action walk if linear_distance_to_target+[value] < walk_distance
FALLBACK_JUMP_BASE_SCORE						40.00 // any fallback jump action will score at least this value
FALLBACK_MULTIPLIER_VS_FALLBACK_JUMP			0.50 // multiplier applied to regular fallback score in case we can do a fallback jump
FALLBACK_FUTURE_SCORE							10
FALLBACK_ATTACK_BLOCKER_SCORE					0.12 // base score for attacking an item that is blocking the path to the closest enemy

////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

//////////////////////////////////////////////////////////////////////////
// General score multipliers
MULTIPLIER_SCORE_ON_NEUTRAL						-0.9
MULTIPLIER_SCORE_ON_ALLY						-1.1
MULTIPLIER_SCORE_OUT_OF_COMBAT					0.25

// Used for healing
MAX_HEAL_MULTIPLIER								0.1  // Must be between 0 and 1, the closer to 1, the more it demands healing when someone is close to dying
MAX_HEAL_SELF_MULTIPLIER						0.1  // Must be between 0 and 1, the closer to 1, the more it demands healing when you are close to dying

// Simple multipliers when damage results in a kill
MULTIPLIER_KILL_ENEMY							1.25
MULTIPLIER_KILL_ENEMY_SUMMON					1.05
MULTIPLIER_KILL_ALLY							1.50
MULTIPLIER_KILL_ALLY_SUMMON						1.10
MULTIPLIER_KILL_TARGET_HEALTH_BIAS 				0.0
INSTAKILL_BASE_SCORE							1.5
MULTIPLIER_INSTAKILL_TARGET_HEALTH_BIAS			0.025

//////////////////////////////////////////////////////////////////////////
// Status MULTIPLIERS
MULTIPLIER_STATUS_REMOVE						1.00 // Used when a status is removed (on top of status-specific score calculation on removal)
MULTIPLIER_STATUS_FAILED						0.50 // Used when a status has failed to be set, for the minimumscore
MULTIPLIER_STATUS_CANCEL_INVISIBILITY			0.50 // Used when we do an action that causes INVISIBLE to break
MULTIPLIER_STATUS_OVERWRITE						0.50 // Used when a status is overwritten, for the minimumscore
MULTIPLIER_STATUS_REMOVE_FUNCTORS				0.50 // Used when applying the OnRemove functors

MODIFIER_CONTROL_STUPIDITY						1.00
MULTIPLIER_LOSE_CONTROL							1.00
MULTIPLIER_INCAPACITATE							0.70
MULTIPLIER_KNOCKDOWN							0.50
MULTIPLIER_FEAR									1.00
MULTIPLIER_BLIND								0.10
MULTIPLIER_INVISIBLE							0.20
MULTIPLIER_RESURRECT							4.00

//////////////////////////////////////////////////////////////////////////
// SPELL MULTIPLIERS
SPELL_JUMP_MINIMUM_DISTANCE						6.00
SPELL_TELEPORT_MINIMUM_DISTANCE					6.00

// Used when a surface is removed
MULTIPLIER_SURFACE_REMOVE						0.35

// Used for destroying interesting items.
MULTIPLIER_DESTROY_INTERESTING_ITEM				3.25

// How important resistances/immunities are for this character
MULTIPLIER_RESISTANCE_STUPIDITY					1.00
MULTIPLIER_IMMUNITY_STUPIDITY					0.00

// How important boosting ABILITYutes are
MULTIPLIER_MAIN_ABILITY							1.00
MULTIPLIER_SECONDARY_ABILITY					0.50

// Used to limit the amount of turns calculated for a surface, status, or summon (to prevent overvaluing) as well as represent turns left for an infinite duration
TURNS_CAP										4.0

// Modifier used for possible combo score
MULTIPLIER_COMBO_SCORE_INTERACTION				0.90
MULTIPLIER_COMBO_SCORE_POSITIONING				0.00

// Modifier used for jump and teleportation SPELLs for the position score of the position we're leaving
MULTIPLIER_POSITION_LEAVE						-1.0

// How important grounding someone is.
MULTIPLIER_GROUNDED								-0.05

// Used for the path influences cost for summons
MULTIPLIER_SUMMON_PATH_INFLUENCES				0.04

// Distance based buffs
// Prevent buffing allies that are far away from the action.
// lerp between 100% and 0%, when you are between BUFF_DIST_MIN and BUFF_DIST_MAX from your closet enemy. Everything before DIST_MIN is going to be at 100%.
BUFF_DIST_MAX									30.0
BUFF_DIST_MIN									10.0

// Multiplier for positive surface scores on allies that are secondary. E.g. blessed surface on an ally that's caused by a placed fire surface that's connected to a blessed surface
MULTIPLIER_POS_SECONDARY_SURFACE				0.25

// A general multiplier for all reflected damage
MULTIPLIER_REFLECT_DAMAGE						0.1

// The maximum amount of consumables a character that lost control can use per turn
LOSE_CONTROL_MAX_CONSUMABLES_PER_TURN			1

// Multiplier for buffs as the first action
MULTIPLIER_FIRST_ACTION_BUFF					1.0

// Multiplier for invisibility as the first action
MULTIPLIER_FIRST_ACTION_INVISIBILITY			0.1

// Modifiers used when converting a resource of specified type to a score, where higher score means higher cost
MULTIPLIER_RESOURCE_REPLENISH_TYPE_NEVER		1.04
MULTIPLIER_RESOURCE_REPLENISH_TYPE_COMBAT		1.03
MULTIPLIER_RESOURCE_REPLENISH_TYPE_REST			1.02
MULTIPLIER_RESOURCE_REPLENISH_TYPE_SHORT_REST   1.01
MULTIPLIER_RESOURCE_REPLENISH_TYPE_TURN			1.00

// Modifiers used when calculating the advantage boost
MULTIPLIER_ADVANTAGE_ABILITY	0.25
MULTIPLIER_ADVANTAGE_SKILL		0.20
MULTIPLIER_ADVANTAGE_ATTACK		0.20

// Modifier used when calculating the ArmorClass boost
MULTIPLIER_BOOST_AC 0.6

// Modifier used when calculating the AbilityFailedSavingThrow boost
MULTIPLIER_BOOST_ABILITY_FAILED_SAVING_THROW 0.085

// Modifier used when calculating ActionResource boost
MULTIPLIER_BOOST_ACTION_RESOURCE 0.4

// Modifier used when calculating ActionResourceOverride boost
MULTIPLIER_BOOST_ACTION_RESOURCE_OVERRIDE 0.4

// Modifier used when calculating ActionResourceMultiplier boost
MULTIPLIER_BOOST_ACTION_RESOURCE_MULTIPLIER 0.25

// Modifier used when calculating ActionResourceBlock boost
MULTIPLIER_BOOST_ACTION_RESOURCE_BLOCK 0.4

// Modifier used when calculating IgnoreAOO boost
MULTIPLIER_BOOST_IGNORE_AOO 0.03

// Minimum movement left to consider the IgnoreAOO boost
BOOST_IGNORE_AOO_MIN_MOVEMENT 2.0

// Modifier used when calculating Ability boost
MULTIPLIER_BOOST_ABILITY 0.6

// Modifier used when calculating IgnoreFallDamage boost
MULTIPLIER_BOOST_IGNORE_FALL_DAMAGE -0.04

// Modifier used when calculating CannotHarmCauseEntity boost
MULTIPLIER_BOOST_CANNOT_HARM_CAUSE_ENTITY 0.1

// Modifiers used when calculating CriticalHit boost
MULTIPLIER_BOOST_CRITICAL_HIT_NEVER 0.0125
MULTIPLIER_BOOST_CRITICAL_HIT_ALWAYS 0.065

// Modifier used when calculating BlockSpellCast boost
MULTIPLIER_BOOST_BLOCK_SPELL_CAST 0.25

// Modifier used when calculating BlockRegainHP boost
MULTIPLIER_BOOST_BLOCK_REGAIN_HP 0.07

// Modifier used when calculating HalveWeaponDamage boost
MULTIPLIER_BOOST_HALVE_WEAPON_DAMAGE 0.07

// Modifier used when calculating WeaponDamage boost
MULTIPLIER_BOOST_WEAPON_DAMAGE 0.07

// Modifier used when scaling the damage score for seeking a hidden character
MULTIPLIER_SEEK_HIDDEN_DAMAGE 0.02

// Modifier used as the minimum score for a seek
MODIFIER_SEEK_MINIMAL_THRESHOLD 0.15

// Modifier used when scaling the distance to last known position for seeking a hidden character
MULTIPLIER_SEEK_HIDDEN_DISTANCE 0.001

// Item count considered to be 'high', used for low and high item amount multipliers
ITEM_HIGH_COUNT 2

// Modifiers used for darkness positioning
MULTIPLIER_DARKNESS_CLEAR 0.0
MULTIPLIER_DARKNESS_LIGHT 0.0
MULTIPLIER_DARKNESS_HEAVY 0.0

// Modifier used when calculating BlockVerbalComponent boost
MULTIPLIER_BOOST_BLOCK_VERBAL_COMPONENT 0.125
// Modifier used when calculating BlockSomaticComponent boost
MULTIPLIER_BOOST_BLOCK_SOMATIC_COMPONENT 0.125

// Modifier used when calculating surface score during movement
MULTIPLIER_MOVEMENT_SURFACE 1.0

// Modifier used to make AI over estimate its chances of hitting their target
MODIFIER_HIT_CHANCE_STUPIDITY 1.0

//////////////////////////////////////////////////////////////////////////
// RollBonus MULTIPLIERS
MODIFIER_BOOST_ROLLBONUS_ATTACK 0.05
MODIFIER_BOOST_ROLLBONUS_MELEEWEAPONATTACK 0.05
MODIFIER_BOOST_ROLLBONUS_RANGEDWEAPONATTACK 0.05
MODIFIER_BOOST_ROLLBONUS_MELEESPELLATTACK 0.05
MODIFIER_BOOST_ROLLBONUS_RANGEDSPELLATTACK 0.05
MODIFIER_BOOST_ROLLBONUS_MELEEUNARMEDATTACK 0.02
MODIFIER_BOOST_ROLLBONUS_RANGEDUNARMEDATTACK 0.02
MODIFIER_BOOST_ROLLBONUS_SKILL 0.001
MODIFIER_BOOST_ROLLBONUS_SAVINGTHROW 0.015
MODIFIER_BOOST_ROLLBONUS_DAMAGE 0.02
MODIFIER_BOOST_ROLLBONUS_ABILITY 0.03
MODIFIER_BOOST_ROLLBONUS_MELEEOFFHANDWEAPONATTACK 0.035
MODIFIER_BOOST_ROLLBONUS_RANGEDOFFHANDWEAPONATTACK 0.035

// Modifiers for aura understanding
MULTIPLIER_POS_IN_AURA 0.3
MODIFIER_OWN_AURA 0.3
TURNS_CAP_AURASTATUS 2
MODIFIER_MOVE_INTO_DANGEROUS_AURA 0.5

// Score that is added to any position that is marked as 'TILE_LEDGE_STATIC' 
// so that creatures avoid standing on the ledges of objects where their feet are floating
AVOID_CLIMBABLE_LEDGES 0.15

//////////////////////////////////////////////////////////////////////////
// Weapon pickup modifiers

// Modifier used as a starting point for picking up weapons. Can be 0 to completely disable it
WEAPON_PICKUP_MODIFIER 0.3
// Modifier used to change the max search radius for weapons to pick up
WEAPON_PICKUP_RADIUS 12
// Modifier used to enable preferring ranged weapons above melee
WEAPON_PICKUP_PREFER_RANGED_ENABLED 0
// Modifier used to change score of picking up a weapon when it is preferred
WEAPON_PICKUP_MODIFIER_PREFERRED 1.25
// Modifier used to change score of picking up a weapon when it was equipped before
WEAPON_PICKUP_MODIFIER_PREVIOUSLY_EQUIPPED 1.25
// Modifier used to change score of picking up a weapon based on the damage. Usually low, used as a tie breaker
WEAPON_PICKUP_MODIFIER_DAMAGE 0.005
// Modifier used to change score of picking up a weapon when the source has no profiency
WEAPON_PICKUP_MODIFIER_NO_PROFICIENCY 0.5
// Modifier used to change score of picking up a weapon when the weapon used to be equipped by an allied party member
WEAPON_PICKUP_MODIFIER_PARTY_ALLY 0.0

// Modifier used when calculating SightRangeAdditive/Minimum/Override boosts
MULTIPLIER_BOOST_SIGHT_RANGE 0.08

// Modifier for the DisarmWeapon stats functor
MULTIPLIER_STATSFUNCTOR_DISARMWEAPON 0.1

// Modifier for the DisarmAndStealWeapon stats functor
MULTIPLIER_STATSFUNCTOR_DISARMANDSTEALWEAPON 0.3

//////////////////////////////////////////////////////////////////////////
// Use item modifiers
		
// Modifier used as a starting point for using items, 0 disables
USE_ITEM_MODIFIER						0.3
// Modifier used to enable/disable using items from own inventory
USE_INVENTORY_ITEMS_ENABLED				1
// Modifier used to change the max search radius for items to use
USE_ITEM_RADIUS							18.0
// Modifier used to change score of using item when the source cannot see it
USE_ITEM_MODIFIER_NO_VISIBILITY			1.0

//////////////////////////////////////////////////////////////////////////
// Concentration modifiers

// Modifier used to change the score of removing the AI's own concentration
MODIFIER_CONCENTRATION_REMOVE_SELF 						8.0
// Modifier used to change the score of removing a target's concentration (other than itself) 
MODIFIER_CONCENTRATION_REMOVE_TARGET 					0.0

//////////////////////////////////////////////////////////////////////////
// Throwing modifiers

// Used to adjust score when throw spell affects only self
MULTIPLIER_SELF_ONLY_THROW				0.8
// Modifier to limit how many items from the inventory are eligible to be thrown.
// It is used to prevent ai with many throw-able items from spending too much time considering each item
THROW_INVENTORY_ITEM_LIMIT				100

// Used to adjust fall damage scores
MULTIPLIER_FALL_DAMAGE_SELF								1.0
MULTIPLIER_FALL_DAMAGE_ENEMY							0.25
MULTIPLIER_FALL_DAMAGE_ALLY								1.0
